LAT,LON,crash_case,year,county,city,intersection,road_type,road_condition
44.35420573,-106.690055,201205940,2012,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201210200,2012,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201200345,2012,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201303169,2013,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201302720,2013,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201315055,2013,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201308186,2013,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201302811,2013,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201406178,2014,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201512623,2015,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201611636,2016,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35420573,-106.690055,201613311,2016,Johnson,Buffalo,E HART ST | I 90 BUS / US 16@N BY-PASS / S BY-PASS | CR 252,URBAN,Dry
44.35423631,-106.6876179,200803319,2008,Johnson,Johnson County Rural,I 90 BUS / US 16@I 25 INTCHG 299 SB OFF@I 25 INTCHG 299 SB ON,URBAN,Dry
44.35423631,-106.6876179,200822855,2008,Johnson,Johnson County Rural,I 90 BUS / US 16@I 25 INTCHG 299 SB OFF@I 25 INTCHG 299 SB ON,URBAN,Dry
44.35423631,-106.6876179,201304595,2013,Johnson,Buffalo,I 90 BUS / US 16@I 25 INTCHG 299 SB OFF@I 25 INTCHG 299 SB ON,URBAN,Dry
44.35423631,-106.6876179,201312437,2013,Johnson,Buffalo,I 90 BUS / US 16@I 25 INTCHG 299 SB OFF@I 25 INTCHG 299 SB ON,URBAN,Dry
44.35423631,-106.6876179,201401164,2014,Johnson,Johnson County Rural,I 90 BUS / US 16@I 25 INTCHG 299 SB OFF@I 25 INTCHG 299 SB ON,URBAN,Wet
44.35423631,-106.6876179,201508296,2015,Johnson,Buffalo,I 90 BUS / US 16@I 25 INTCHG 299 SB OFF@I 25 INTCHG 299 SB ON,URBAN,Dry
41.13779914,-104.8437017,701858,2007,Laramie,Cheyenne,HAPPY JACK | WY 210 /MISSILE DR @MISSILE DR,URBAN,Dry
41.13779914,-104.8437017,201204877,2012,Laramie,Cheyenne,HAPPY JACK | WY 210 /MISSILE DR @MISSILE DR,URBAN,Dry
41.13779914,-104.8437017,201203454,2012,Laramie,Cheyenne,HAPPY JACK | WY 210 /MISSILE DR @MISSILE DR,URBAN,Dry
41.13779914,-104.8437017,201211501,2012,Laramie,Cheyenne,HAPPY JACK | WY 210 /MISSILE DR @MISSILE DR,URBAN,Dry
41.13779914,-104.8437017,201405151,2014,Laramie,Cheyenne,HAPPY JACK | WY 210 /MISSILE DR @MISSILE DR,URBAN,Dry
41.13779914,-104.8437017,201601561,2016,Laramie,Cheyenne,HAPPY JACK | WY 210 /MISSILE DR @MISSILE DR,URBAN,Dry
41.17675857,-104.0757885,201203779,2012,Laramie,Pine Bluffs,WY 215@PARSON ST | US 30@8TH ST,RURAL,Dry
41.17675857,-104.0757885,201316333,2013,Laramie,Pine Bluffs,WY 215@PARSON ST | US 30@8TH ST,RURAL,Snow
41.17675857,-104.0757885,201313590,2013,Laramie,Pine Bluffs,WY 215@PARSON ST | US 30@8TH ST,RURAL,Dry
41.17675857,-104.0757885,201418410,2014,Laramie,Pine Bluffs,WY 215@PARSON ST | US 30@8TH ST,RURAL,Ice or Frost
41.17675857,-104.0757885,201615099,2016,Laramie,Pine Bluffs,WY 215@PARSON ST | US 30@8TH ST,RURAL,Dry
41.17675857,-104.0757885,201603915,2016,Laramie,Pine Bluffs,WY 215@PARSON ST | US 30@8TH ST,RURAL,Ice or Frost
41.15902736,-104.349518,201203285,2012,Laramie,Laramie County Rural,I 80 SVRD@WY 213,RURAL,Dry
44.32267404,-104.9138001,201310772,2013,Crook,Crook County Rural,WY 113@US 14,RURAL,Dry
44.32267404,-104.9138001,201404560,2014,Crook,Crook County Rural,WY 113@US 14,RURAL,Dry
42.06046403,-105.0405729,201206940,2012,Platte,Platte County Rural,WY 310@WY 311,RURAL,Dry
42.06046403,-105.0405729,201208742,2012,Platte,Platte County Rural,WY 310@WY 311,RURAL,Dry
42.06046403,-105.0405729,201516261,2015,Platte,Platte County Rural,WY 310@WY 311,RURAL,Dry
42.06046403,-105.0405729,201615297,2016,Platte,Platte County Rural,WY 310@WY 311,RURAL,Dry
44.57277857,-106.8919659,201415220,2014,Sheridan,Sheridan County Rural,WY 194@WY 340,RURAL,Ice or Frost
44.80687788,-106.9526094,200823066,2008,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,200806462,2008,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Wet
44.80687788,-106.9526094,200814982,2008,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,200820469,2008,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Snow
44.80687788,-106.9526094,200801054,2008,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Wet
44.80687788,-106.9526094,201205613,2012,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201212368,2012,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201200450,2012,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201207095,2012,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201314191,2013,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201311762,2013,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201308105,2013,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201314429,2013,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201411784,2014,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201403623,2014,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Wet
44.80687788,-106.9526094,201511240,2015,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201511015,2015,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201503444,2015,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Wet
44.80687788,-106.9526094,201507893,2015,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201611444,2016,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Wet
44.80687788,-106.9526094,201605431,2016,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.80687788,-106.9526094,201605788,2016,Sheridan,Sheridan,5TH  ST | WY 336@BROADWAY ST,URBAN,Dry
44.9388293,-107.2852365,201613257,2016,Sheridan,Sheridan County Rural,WY 343@WY 345,RURAL,Dry
41.16709384,-104.8393926,709552,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,716620,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,703433,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Wet
41.16709384,-104.8393926,701828,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,704613,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,705197,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,705947,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,707572,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,716257,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,714622,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,721256,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,200910023,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200904425,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200914225,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200901958,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200904594,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200912756,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200904644,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,200918416,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201212741,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201215501,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201217174,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Snow
41.16709384,-104.8393926,201207914,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201200657,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Snow
41.16709384,-104.8393926,201301229,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201304855,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201312216,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201300512,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Snow
41.16709384,-104.8393926,201316553,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201305896,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201306874,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201305582,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201307773,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201312565,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Wet
41.16709384,-104.8393926,201416698,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201402333,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201405196,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201407898,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Unknown
41.16709384,-104.8393926,201411776,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201400880,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Snow
41.16709384,-104.8393926,201400028,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201512522,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201508922,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201504660,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Wet
41.16709384,-104.8393926,201504318,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201616357,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16709384,-104.8393926,201602840,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201604466,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201601631,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201605196,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Dry
41.16709384,-104.8393926,201601570,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@I 25 INTCHG 12 NB OFF@I 25 INTCHG 12 NB ON,URBAN,Ice or Frost
41.16627428,-104.8372208,718579,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,705193,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,714647,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,701888,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,200822792,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,200906158,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,200919259,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,200907226,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,200908019,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201215200,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201204855,2012,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Wet
41.16627428,-104.8372208,201308250,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201317314,2013,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201411573,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201410381,2014,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201502806,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Ice or Frost
41.16627428,-104.8372208,201511532,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201514654,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Dry
41.16627428,-104.8372208,201516829,2015,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Snow
41.16627428,-104.8372208,201614889,2016,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85 / US 87 BUS@WALKER RD,URBAN,Snow
41.16062744,-104.8284419,714046,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,707914,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,706678,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,716546,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,711377,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,714611,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,709468,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,707993,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,713145,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,710136,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,715350,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,707983,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,710120,2007,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200821600,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200820783,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200807773,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200814680,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200820591,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200822126,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200812873,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200814327,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200815359,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200821904,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200818833,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200803792,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Snow
41.16062744,-104.8284419,200805722,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Ice or Frost
41.16062744,-104.8284419,200805395,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200822723,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200804530,2008,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200908482,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Wet
41.16062744,-104.8284419,200911690,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200919940,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Wet
41.16062744,-104.8284419,200919564,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200902426,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Wet
41.16062744,-104.8284419,200903639,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200905522,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200906846,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200906883,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
41.16062744,-104.8284419,200908834,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Wet
41.16062744,-104.8284419,200910165,2009,Laramie,Cheyenne,CENTRAL AVE | I 25 BUS / US 85@WY 219,URBAN,Dry
